,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,prediction
133,133,47,male,2,free,little,,1984,18,furniture/equipment,good,1
134,134,21,female,2,own,moderate,,10144,60,radio/TV,good,1
135,135,38,female,2,own,,,1240,12,radio/TV,good,1
136,136,27,male,2,own,rich,,8613,27,car,good,1
137,137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,1
138,138,35,male,2,own,,moderate,2728,15,radio/TV,good,1
139,139,44,female,1,rent,little,rich,1881,12,radio/TV,good,1
140,140,27,male,0,own,rich,rich,709,6,car,good,1
141,141,30,female,3,own,little,moderate,4795,36,radio/TV,good,0
142,142,27,male,3,own,little,little,3416,27,radio/TV,good,1
143,143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,1
144,144,23,female,2,own,little,,2288,21,furniture/equipment,good,1
145,145,30,male,2,own,moderate,moderate,3566,48,business,good,0
146,146,39,female,2,own,little,little,860,6,car,good,1
147,147,51,female,2,own,moderate,,682,12,car,good,1
148,148,28,male,2,own,little,little,5371,36,furniture/equipment,good,0
149,149,46,male,2,own,rich,,1582,18,radio/TV,good,1
150,150,42,male,2,free,moderate,,1346,6,radio/TV,good,1
151,151,38,male,2,own,little,,1924,10,radio/TV,good,1
152,152,24,male,2,own,little,rich,5848,36,radio/TV,good,1
153,153,29,female,2,rent,rich,moderate,7758,24,car,good,1
154,154,36,male,3,rent,moderate,moderate,6967,24,business,good,1
155,155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,0
156,156,48,male,2,own,moderate,little,1288,9,repairs,good,1
157,157,45,male,1,own,little,little,339,12,education,good,0
158,158,38,male,2,own,moderate,moderate,3512,24,car,good,1
159,159,34,male,1,own,,,1898,6,radio/TV,good,1
160,160,36,male,2,own,moderate,,2872,24,radio/TV,good,1
161,161,30,female,2,own,little,,1055,18,car,good,1
162,162,36,male,2,own,quite rich,,1262,15,domestic appliances,good,1
163,163,70,male,3,free,little,moderate,7308,10,car,good,1
164,164,36,male,2,own,quite rich,,909,36,car,good,1
165,165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good,1
166,166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,1
167,167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,1
168,168,25,female,2,rent,little,,3972,24,furniture/equipment,good,1
169,169,31,male,2,own,little,moderate,1935,24,business,bad,1
170,170,33,male,2,rent,little,little,950,15,car,bad,0
171,171,26,female,2,own,little,,763,12,furniture/equipment,good,1
172,172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,1
173,173,33,male,2,own,little,moderate,1414,8,radio/TV,good,1
174,174,26,male,2,own,little,little,3414,21,education,bad,0
175,175,53,female,3,own,,,7485,30,car,bad,1
176,176,42,male,2,own,little,little,2577,12,furniture/equipment,good,1
177,177,52,male,2,own,quite rich,little,338,6,radio/TV,good,1
178,178,31,male,3,rent,little,,1963,12,radio/TV,good,1
179,179,65,male,2,own,little,little,571,21,car,good,1
180,180,28,male,2,own,little,,9572,36,business,bad,1
181,181,30,male,3,own,little,moderate,4455,36,business,bad,0
182,182,40,male,1,own,,little,1647,21,car,bad,1
183,183,50,male,2,own,rich,,3777,24,furniture/equipment,good,1
184,184,36,male,2,own,little,moderate,884,18,car,bad,1
185,185,31,male,2,own,little,,1360,15,radio/TV,good,1
186,186,74,female,3,free,little,moderate,5129,9,car,bad,1
187,187,68,male,0,free,little,moderate,1175,16,car,good,1
188,188,20,male,2,own,moderate,little,674,12,radio/TV,bad,1
189,189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,1
190,190,54,male,3,own,rich,,4591,24,business,bad,1
191,191,34,male,1,free,moderate,moderate,3844,48,business,bad,0
192,192,36,male,2,own,little,moderate,3915,27,business,bad,1
193,193,29,male,2,rent,little,,2108,6,radio/TV,good,1
194,194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,0
195,195,34,female,3,own,little,moderate,1501,9,education,bad,0
196,196,28,female,2,own,little,,1382,6,radio/TV,good,1
197,197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,1
198,198,36,male,2,free,,moderate,2760,24,car,good,1
199,199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,1
200,200,52,male,2,own,quite rich,,936,9,education,good,1
201,201,27,male,1,own,little,little,1168,12,car,good,1
202,202,26,male,2,own,little,,5117,27,business,good,1
203,203,21,male,2,rent,little,little,902,12,education,bad,0
204,204,38,male,1,own,little,,1495,12,car,good,1
205,205,38,male,3,free,little,little,10623,30,car,good,0
206,206,43,male,2,own,little,,1935,12,furniture/equipment,good,1
207,207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,1
208,208,21,male,1,own,little,little,6568,24,business,good,0
209,209,55,male,2,own,rich,,1413,12,car,good,1
210,210,33,male,2,own,,,3074,9,radio/TV,good,1
211,211,45,female,1,own,,,3835,36,radio/TV,good,1
212,212,50,male,2,own,little,little,5293,27,business,bad,1
213,213,66,male,3,own,little,rich,1908,30,business,bad,1
214,214,51,male,2,own,,,3342,36,radio/TV,good,1
215,215,39,female,1,own,,moderate,932,6,education,good,1
216,216,31,male,2,own,little,little,3104,18,business,good,1
217,217,23,male,2,own,little,rich,3913,36,radio/TV,good,1
218,218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,0
219,219,64,female,2,own,little,,1364,10,car,good,1
220,220,26,male,1,own,little,moderate,625,12,radio/TV,good,1
221,221,23,female,2,rent,,little,1200,12,education,good,0
222,222,30,male,2,own,little,,707,12,radio/TV,good,1
223,223,32,male,2,own,,,2978,24,business,good,1
224,224,30,male,2,own,little,,4657,15,car,good,1
225,225,27,male,2,own,little,,2613,36,repairs,good,1
226,226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,1
227,227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,1
228,228,22,male,2,own,little,,1478,9,radio/TV,bad,1
229,229,22,male,2,free,little,little,3149,24,furniture/equipment,good,0
230,230,26,male,2,own,little,rich,4210,36,radio/TV,bad,1
231,231,51,male,1,free,quite rich,,2507,9,car,good,1
232,232,35,male,2,own,moderate,,2141,12,radio/TV,good,1
233,233,25,male,1,own,little,moderate,866,18,radio/TV,good,1
234,234,42,male,1,own,little,,1544,4,radio/TV,good,1
235,235,30,male,3,own,little,little,1823,24,radio/TV,bad,1
236,236,23,male,0,own,,moderate,14555,6,car,bad,1
237,237,61,male,1,rent,moderate,moderate,2767,21,business,bad,1
238,238,35,female,2,own,little,,1291,12,radio/TV,good,1
239,239,39,male,2,own,little,little,2522,30,radio/TV,good,1
240,240,29,female,2,own,,little,915,24,car,bad,1
241,241,51,male,2,own,little,,1595,6,radio/TV,good,1
242,242,24,male,2,free,little,little,4605,48,car,bad,0
243,243,27,female,2,own,little,,1185,12,business,good,1
244,244,35,female,1,own,quite rich,,3447,12,education,good,1
245,245,25,male,2,own,little,,1258,24,business,good,1
246,246,52,male,2,own,little,,717,12,radio/TV,good,1
247,247,35,male,2,rent,moderate,,1204,6,car,good,1
248,248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,1
249,249,22,female,2,rent,little,,433,18,radio/TV,bad,1
250,250,39,female,1,own,rich,little,666,6,car,good,1
251,251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,1
252,252,24,female,2,own,little,moderate,2150,30,car,bad,0
253,253,35,male,2,own,moderate,,4151,24,furniture/equipment,good,1
254,254,24,male,2,own,,moderate,2030,9,furniture/equipment,good,1
255,255,27,male,1,own,,moderate,7418,60,radio/TV,good,0
256,256,35,male,1,own,little,,2684,24,radio/TV,good,1
257,257,29,male,2,free,little,little,2149,12,radio/TV,bad,1
258,258,23,female,2,own,moderate,,3812,15,car,good,1
259,259,57,female,1,own,moderate,,1154,11,radio/TV,good,1
260,260,27,male,2,own,little,little,1657,12,furniture/equipment,good,1
261,261,55,female,2,own,little,little,1603,24,radio/TV,good,1
262,262,36,male,3,free,little,little,5302,18,car,good,0
263,263,57,female,1,free,little,,2748,12,education,good,1
264,264,32,male,1,own,little,,1231,10,car,good,1
265,265,37,male,2,own,little,moderate,802,15,radio/TV,bad,1
266,266,36,male,2,own,,,6304,36,business,good,1
267,267,38,female,2,own,little,,1533,24,radio/TV,good,1
268,268,45,male,3,own,little,little,8978,14,car,bad,1
269,269,25,male,2,own,,,999,24,radio/TV,good,1
270,270,32,male,2,own,,,2662,18,car,good,1
271,271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,1
272,272,36,male,3,free,,moderate,12169,48,car,good,0
273,273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,0
274,274,34,male,1,own,little,little,11998,30,repairs,bad,0
275,275,32,male,2,own,little,,2697,9,radio/TV,good,1
276,276,26,female,2,own,little,,2404,18,radio/TV,good,1
277,277,49,male,1,own,,little,1262,12,furniture/equipment,good,1
278,278,32,female,2,own,little,,4611,6,furniture/equipment,bad,1
279,279,29,male,3,rent,moderate,,1901,24,radio/TV,good,1
280,280,23,male,2,rent,rich,,3368,15,car,good,1
281,281,50,male,2,own,little,,1574,12,furniture/equipment,good,1
282,282,49,male,1,own,,rich,1445,18,radio/TV,good,1
283,283,63,male,2,own,,,1520,15,furniture/equipment,good,1
284,284,37,male,2,own,moderate,moderate,3878,24,car,good,1
285,285,35,female,1,own,little,little,10722,47,car,good,0
286,286,26,male,2,own,little,little,4788,48,car,good,0
287,287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,0
288,288,49,female,2,own,little,moderate,1092,12,radio/TV,good,1
289,289,48,male,2,own,little,little,1024,24,radio/TV,bad,1
290,290,26,male,2,own,little,,1076,12,business,good,1
291,291,28,male,3,rent,little,moderate,9398,36,car,bad,0
292,292,44,female,3,free,little,little,6419,24,car,good,0
293,293,56,male,2,free,little,rich,4796,42,car,good,1
294,294,46,male,3,own,,,7629,48,business,good,1
295,295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,0
296,296,20,female,2,rent,,,4675,12,car,good,1
297,297,45,male,1,own,,,1287,10,car,good,1
298,298,43,male,2,own,little,,2515,18,furniture/equipment,good,1
299,299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,1
300,300,54,female,0,own,little,,672,6,car,good,1
301,301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,1
302,302,37,male,1,own,,rich,1344,24,car,bad,1
303,303,49,male,2,own,little,little,1038,10,car,good,1
304,304,44,male,2,free,quite rich,,10127,48,car,bad,1
305,305,33,male,2,own,rich,,1543,6,furniture/equipment,good,1
306,306,24,female,1,rent,,,4811,30,car,good,1
307,307,33,male,1,own,moderate,little,727,12,radio/TV,bad,1
308,308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,1
309,309,22,male,1,rent,little,moderate,276,9,car,good,1
310,310,40,male,0,free,,moderate,5381,48,vacation/others,good,0
311,311,25,male,2,own,moderate,,5511,24,furniture/equipment,good,1
312,312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,1
313,313,25,male,1,own,little,moderate,685,12,car,bad,1
314,314,29,male,1,own,,rich,1494,4,car,good,1
315,315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,0
316,316,38,male,1,own,little,little,708,12,furniture/equipment,good,1
317,317,48,female,1,own,,moderate,4351,24,furniture/equipment,good,1
318,318,32,male,2,own,little,,701,12,education,good,1
319,319,27,female,1,own,little,little,3643,15,furniture/equipment,good,0
320,320,28,male,3,own,little,moderate,4249,30,car,bad,1
321,321,32,male,2,own,little,little,1938,24,radio/TV,bad,1
322,322,34,male,3,free,little,little,2910,24,car,good,0
323,323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,1
324,324,36,female,2,own,little,,1028,18,car,good,1
325,325,39,male,1,own,little,little,3398,8,car,good,1
326,326,49,male,2,rent,,,5801,12,furniture/equipment,good,1
327,327,34,female,2,own,rich,,1525,24,car,good,1
328,328,31,male,2,own,little,rich,4473,36,radio/TV,good,1
329,329,28,male,2,own,little,moderate,1068,6,radio/TV,good,1
330,330,75,male,3,free,little,little,6615,24,car,good,1
331,331,30,female,2,own,moderate,,1864,18,education,bad,1
332,332,24,female,3,own,moderate,moderate,7408,60,car,bad,0
333,333,24,female,1,rent,moderate,,11590,48,car,bad,0
334,334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,0
335,335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,1
336,336,23,female,1,own,little,moderate,2101,13,radio/TV,good,1
337,337,24,female,2,rent,,little,1275,15,domestic appliances,bad,0
338,338,28,male,2,own,little,little,4169,24,furniture/equipment,good,1
339,339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,1
340,340,24,female,2,free,little,moderate,5743,24,education,good,0
341,341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,0
342,342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,1
343,343,33,male,3,own,little,moderate,4439,18,business,good,1
344,344,37,male,1,own,little,rich,3949,10,car,good,1
345,345,43,female,1,own,little,,1459,15,radio/TV,good,1
346,346,23,male,2,own,little,moderate,882,13,radio/TV,good,1
347,347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,0
348,348,34,male,1,own,moderate,,1743,6,business,good,1
349,349,32,male,2,free,rich,moderate,1136,9,education,bad,1
350,350,23,female,2,rent,little,,1236,9,domestic appliances,good,1
351,351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,1
352,352,38,male,3,own,,,3229,18,car,good,1
353,353,28,male,2,rent,little,little,6199,12,radio/TV,bad,1
354,354,46,male,2,free,quite rich,,727,10,education,good,1
355,355,23,male,1,own,little,moderate,1246,24,car,bad,0
356,356,49,male,2,own,,,2331,12,radio/TV,good,1
357,357,26,male,3,own,little,,4463,36,radio/TV,bad,1
358,358,28,male,2,own,little,,776,12,radio/TV,good,1
359,359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,0
360,360,61,male,2,free,,moderate,1239,18,education,good,1
361,361,37,male,3,own,,rich,3399,12,radio/TV,good,1
362,362,36,female,2,own,little,rich,2247,12,car,good,1
363,363,21,male,2,rent,little,,1766,6,furniture/equipment,good,1
364,364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,1
365,365,36,male,2,own,little,,1542,12,business,good,1
366,366,27,male,2,own,little,,3850,18,car,good,1
367,367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,0
368,368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,0
369,369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,1
370,370,36,male,2,own,,,3079,36,car,good,1
371,371,33,male,2,own,little,,6070,18,radio/TV,good,1
372,372,23,female,2,rent,little,,2146,10,furniture/equipment,good,1
373,373,63,male,3,free,,,13756,60,car,good,1
374,374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,0
375,375,37,female,2,rent,little,little,7685,48,business,bad,0
376,376,34,male,2,own,little,,2320,18,radio/TV,good,1
377,377,36,male,2,free,,,846,7,radio/TV,good,1
378,378,57,male,3,free,little,moderate,14318,36,car,bad,0
379,379,52,female,1,own,moderate,,362,6,car,good,1
380,380,39,male,2,own,,little,2212,20,furniture/equipment,good,1
381,381,38,female,3,free,little,moderate,12976,18,car,bad,0
382,382,25,female,2,rent,,,1283,22,car,good,1
383,383,26,male,2,own,little,rich,1330,12,car,good,1
384,384,26,male,1,own,moderate,,4272,30,business,good,1
385,385,25,female,2,own,little,,2238,18,radio/TV,good,1
386,386,21,female,2,rent,,,1126,18,radio/TV,good,1
387,387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,1
388,388,27,male,2,own,quite rich,moderate,2326,15,business,good,1
389,389,27,female,2,own,little,,1449,9,business,good,1
390,390,30,male,3,own,little,,1820,18,car,good,1
391,391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,1
392,392,39,male,3,free,little,little,3249,36,car,good,0
393,393,31,female,2,own,little,little,1957,6,radio/TV,good,1
394,394,31,male,3,own,little,,2406,9,furniture/equipment,good,1
395,395,32,male,2,rent,moderate,moderate,11760,39,education,good,0
396,396,55,female,3,free,little,little,2578,12,furniture/equipment,good,1
397,397,46,male,2,own,little,little,2348,36,furniture/equipment,good,1
398,398,46,male,2,rent,little,moderate,1223,12,car,bad,1
399,399,43,female,1,own,rich,,1516,24,radio/TV,good,1
400,400,39,male,2,own,little,,1473,18,radio/TV,good,1
401,401,28,male,2,own,,moderate,1887,18,business,good,1
402,402,27,male,2,own,little,,8648,24,business,bad,1
403,403,27,male,1,own,little,,802,14,car,good,1
404,404,43,male,2,own,,moderate,2899,18,car,good,1
405,405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,1
406,406,43,male,2,own,,,2197,24,car,good,1
407,407,27,male,2,own,little,little,1053,15,radio/TV,good,1
408,408,26,male,3,own,quite rich,,3235,24,radio/TV,good,1
409,409,28,male,2,own,quite rich,rich,939,12,car,bad,1
410,410,20,female,2,own,little,moderate,1967,24,radio/TV,good,1
411,411,35,male,3,own,little,,7253,33,car,good,1
412,412,42,male,3,own,little,,2292,12,business,bad,1
413,413,40,male,1,rent,quite rich,,1597,10,car,good,1
414,414,35,female,2,own,,little,1381,24,car,bad,1
415,415,35,male,2,own,little,,5842,36,car,good,1
416,416,33,male,1,own,little,little,2579,12,car,bad,1
417,417,23,female,2,rent,,little,8471,18,education,good,0
418,418,31,female,3,own,quite rich,,2782,21,car,good,1
419,419,33,female,2,own,,moderate,1042,18,car,bad,1
420,420,20,female,2,rent,rich,,3186,15,car,good,1
421,421,30,male,2,own,,moderate,2028,12,car,good,1
422,422,47,male,1,own,little,moderate,958,12,car,good,1
423,423,34,male,3,own,moderate,,1591,21,furniture/equipment,good,1
424,424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad,1
425,425,21,male,2,rent,little,moderate,2779,18,car,good,0
426,426,29,male,2,own,little,,2743,28,radio/TV,good,1
427,427,46,male,2,own,rich,,1149,18,radio/TV,good,1
428,428,20,male,2,own,little,,1313,9,furniture/equipment,good,1
429,429,55,female,0,free,little,little,1190,18,repairs,bad,0
430,430,74,male,1,own,little,,3448,5,business,good,1
431,431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,0
432,432,36,male,3,free,little,little,1872,6,furniture/equipment,good,1
433,433,33,male,2,own,little,,2058,24,repairs,good,1
434,434,25,male,2,own,little,little,2136,9,furniture/equipment,good,1
435,435,25,male,2,own,,moderate,1484,12,radio/TV,bad,1
436,436,23,male,1,rent,quite rich,,660,6,repairs,good,1
437,437,37,female,2,own,rich,,1287,24,car,good,1
438,438,65,male,0,own,little,little,3394,42,repairs,good,0
439,439,26,female,0,own,little,rich,609,12,business,bad,1
440,440,39,male,3,own,little,,1884,12,car,good,1
441,441,30,female,2,own,little,little,1620,12,furniture/equipment,good,1
442,442,29,male,2,own,little,moderate,2629,20,vacation/others,good,1
443,443,41,male,1,own,little,,719,12,education,bad,1
444,444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,0
445,445,41,female,1,rent,,,1244,9,education,good,1
446,446,34,female,2,own,little,little,1842,36,car,bad,0
447,447,35,male,2,own,little,moderate,2576,7,radio/TV,good,1
448,448,55,female,3,own,,rich,1424,12,furniture/equipment,good,1
449,449,61,male,2,own,rich,moderate,1512,15,repairs,bad,1
450,450,30,male,3,own,,,11054,36,car,good,1
451,451,29,female,2,own,little,,518,6,radio/TV,good,1
452,452,34,male,2,own,little,,2759,12,furniture/equipment,good,1
453,453,35,male,3,own,little,,2670,24,car,good,1
454,454,31,male,2,own,little,little,4817,24,car,bad,0
455,455,29,female,3,own,little,,2679,24,car,good,1
456,456,36,male,2,rent,little,little,3905,11,car,good,1
457,457,35,male,2,free,little,little,3386,12,car,bad,1
